"","Age","Persons","Males","Females"
"1","18",1310,912,395
"2","19",1327,909,412
"3","20",1318,914,399
"4","21",1276,879,394
"5","22",1281,888,391
"6","23",1228,847,379
"7","24",1309,874,433
"8","25",1270,865,400
"9","26",1327,906,419
"10","27",1309,895,408
"11","28",1329,904,424
"12","29",1293,884,407
"13","30",892,636,254
"14","31",840,590,248
"15","32",898,621,274
"16","33",899,606,289
"17","34",835,575,255
"18","35",906,622,281
"19","36",897,623,268
"20","37",883,600,279
"21","38",910,646,260
"22","39",846,562,280
"23","40",907,622,279
"24","41",900,628,271
"25","42",864,568,293
"26","43",870,592,273
"27","44",855,583,271
"28","45",885,619,263
"29","46",894,617,276
"30","47",804,550,250
"31","48",843,586,255
"32","49",849,598,247
"33","50",899,641,255
"34","51",865,565,298
"35","52",860,590,269
"36","53",850,567,280
"37","54",820,569,251
"38","55",858,589,265
"39","56",835,576,259
"40","57",893,604,287
"41","58",901,620,276
"42","59",882,594,285
"43","60",405,284,121
"44","61",801,567,233
"45","62",824,569,254
"46","63",819,585,230
"47","64",889,600,282
"48","65",805,566,236
"49","66",816,579,236
"50","67",803,568,232
"51","68",829,575,254
"52","69",870,617,252
"53","70",843,572,268
"54","71",828,561,266
"55","72",845,569,275
"56","73",833,571,260
"57","74",847,587,260
"58","75",835,577,257
"59","76",831,590,238
"60","77",877,615,259
"61","78",871,578,287
"62","79",845,585,255
"63","80",837,585,250
"64","81",844,574,263
"65","82",857,584,273
"66","83",798,560,236
"67","84",804,564,239
