"","Age","Persons","Males","Females"
"1","18",4705,3311,1381
"2","19",4641,3297,1331
"3","20",4730,3320,1397
"4","21",4748,3314,1424
"5","22",4550,3205,1333
"6","23",4591,3211,1369
"7","24",4642,3204,1419
"8","25",4663,3248,1403
"9","26",4711,3303,1392
"10","27",4642,3227,1401
"11","28",4755,3332,1411
"12","29",4562,3165,1377
"13","30",3102,2202,894
"14","31",3068,2167,895
"15","32",3106,2128,968
"16","33",3140,2226,902
"17","34",2970,2076,882
"18","35",3065,2175,883
"19","36",3138,2204,919
"20","37",3097,2162,925
"21","38",3177,2241,931
"22","39",3007,2057,939
"23","40",3137,2178,947
"24","41",3110,2162,942
"25","42",3075,2172,894
"26","43",3175,2216,946
"27","44",3079,2147,923
"28","45",3106,2146,951
"29","46",3130,2199,922
"30","47",3062,2154,896
"31","48",3028,2171,851
"32","49",3162,2237,913
"33","50",3168,2236,917
"34","51",3100,2107,984
"35","52",3089,2165,911
"36","53",3012,2048,959
"37","54",3067,2160,901
"38","55",3075,2142,922
"39","56",3170,2183,983
"40","57",3144,2176,952
"41","58",3162,2207,945
"42","59",3150,2203,940
"43","60",1383,992,386
"44","61",1432,1011,417
"45","62",1505,1043,458
"46","63",1486,1067,414
"47","64",1558,1079,473
"48","65",1470,1022,443
"49","66",1488,1065,421
"50","67",1406,975,426
"51","68",1489,1046,440
"52","69",1524,1090,429
"53","70",1532,1074,454
"54","71",1441,988,447
"55","72",1480,1035,442
"56","73",1549,1076,468
"57","74",1526,1063,461
"58","75",1461,1020,438
"59","76",1499,1069,426
"60","77",1512,1052,454
"61","78",1518,1046,464
"62","79",1545,1090,448
"63","80",1446,1010,432
"64","81",1504,1059,434
"65","82",1557,1078,478
"66","83",1462,1027,430
"67","84",1451,998,452
