"","Age","Persons","Males","Females"
"1","18",489,346,142
"2","19",499,356,143
"3","20",529,371,155
"4","21",527,365,162
"5","22",489,342,147
"6","23",480,344,136
"7","24",499,341,154
"8","25",476,318,158
"9","26",523,349,174
"10","27",542,391,150
"11","28",452,321,130
"12","29",494,341,153
"13","30",352,265,87
"14","31",314,236,78
"15","32",342,231,110
"16","33",337,223,111
"17","34",325,230,94
"18","35",342,226,116
"19","36",352,244,105
"20","37",326,220,106
"21","38",342,251,90
"22","39",354,254,98
"23","40",332,239,92
"24","41",312,216,95
"25","42",328,234,94
"26","43",319,215,103
"27","44",336,224,108
"28","45",351,231,119
"29","46",355,253,100
"30","47",326,226,99
"31","48",317,230,86
"32","49",314,236,76
"33","50",308,229,78
"34","51",338,223,114
"35","52",321,220,101
"36","53",320,216,104
"37","54",331,216,114
"38","55",320,235,84
"39","56",312,220,92
"40","57",322,226,92
"41","58",329,232,97
"42","59",331,227,104
"43","60",128,96,31
"44","61",142,103,37
"45","62",156,107,49
"46","63",189,131,58
"47","64",157,113,44
"48","65",170,117,53
"49","66",161,119,42
"50","67",151,105,46
"51","68",147,93,54
"52","69",171,130,41
"53","70",149,112,36
"54","71",163,122,41
"55","72",181,127,54
"56","73",141,101,39
"57","74",143,101,41
"58","75",162,121,41
"59","76",161,113,47
"60","77",172,120,52
"61","78",157,118,38
"62","79",170,119,48
"63","80",144,94,50
"64","81",166,118,42
"65","82",160,107,53
"66","83",159,122,37
"67","84",150,111,39
