"","Age","Persons","Males","Females"
"1","18",2292,1608,674
"2","19",2236,1590,638
"3","20",2299,1588,708
"4","21",2279,1598,675
"5","22",2178,1554,619
"6","23",2292,1572,713
"7","24",2169,1479,683
"8","25",2209,1540,664
"9","26",2253,1596,650
"10","27",2184,1542,637
"11","28",2344,1610,729
"12","29",2152,1517,626
"13","30",1465,1029,429
"14","31",1483,1051,431
"15","32",1465,1007,452
"16","33",1502,1062,435
"17","34",1489,1007,476
"18","35",1491,1057,432
"19","36",1520,1057,458
"20","37",1505,1062,438
"21","38",1522,1050,468
"22","39",1412,949,455
"23","40",1507,1026,476
"24","41",1464,1017,444
"25","42",1497,1024,467
"26","43",1547,1092,446
"27","44",1469,1003,463
"28","45",1480,1022,454
"29","46",1523,1038,482
"30","47",1484,1063,417
"31","48",1449,1053,392
"32","49",1550,1069,478
"33","50",1569,1117,442
"34","51",1483,1017,462
"35","52",1493,1030,456
"36","53",1432,951,479
"37","54",1487,1056,429
"38","55",1483,1021,459
"39","56",1495,1029,462
"40","57",1520,1041,474
"41","58",1541,1073,464
"42","59",1453,1009,440
"43","60",678,478,197
"44","61",687,479,207
"45","62",712,492,219
"46","63",668,479,185
"47","64",773,540,230
"48","65",707,469,234
"49","66",716,517,197
"50","67",715,504,209
"51","68",726,514,210
"52","69",740,516,221
"53","70",724,513,208
"54","71",710,466,241
"55","72",699,477,220
"56","73",798,563,230
"57","74",730,510,220
"58","75",701,485,214
"59","76",767,559,207
"60","77",711,497,212
"61","78",699,481,215
"62","79",744,524,217
"63","80",743,525,215
"64","81",723,519,203
"65","82",749,514,235
"66","83",708,489,215
"67","84",700,482,218
