"","Age","Persons","Males","Females"
"1","18",609,419,188
"2","19",582,419,159
"3","20",552,398,153
"4","21",604,418,184
"5","22",588,386,200
"6","23",594,414,180
"7","24",609,415,192
"8","25",603,411,191
"9","26",601,426,171
"10","27",566,395,170
"11","28",620,430,188
"12","29",562,378,183
"13","30",390,267,123
"14","31",402,282,120
"15","32",410,299,111
"16","33",382,276,103
"17","34",360,259,99
"18","35",391,280,110
"19","36",385,274,108
"20","37",388,289,96
"21","38",398,281,117
"22","39",366,252,113
"23","40",365,270,94
"24","41",430,287,141
"25","42",387,287,100
"26","43",385,251,133
"27","44",392,271,119
"28","45",403,279,124
"29","46",402,281,119
"30","47",365,242,122
"31","48",368,262,106
"32","49",394,289,103
"33","50",390,260,127
"34","51",376,245,131
"35","52",386,275,107
"36","53",391,280,109
"37","54",394,288,105
"38","55",370,257,110
"39","56",435,299,136
"40","57",385,276,107
"41","58",409,290,116
"42","59",395,276,118
"43","60",186,140,46
"44","61",197,142,55
"45","62",183,139,42
"46","63",200,145,55
"47","64",204,149,54
"48","65",184,127,57
"49","66",197,133,64
"50","67",166,113,53
"51","68",185,129,56
"52","69",172,118,54
"53","70",201,142,59
"54","71",200,148,52
"55","72",182,128,53
"56","73",181,114,67
"57","74",200,134,66
"58","75",171,119,51
"59","76",174,121,53
"60","77",198,140,57
"61","78",183,121,60
"62","79",211,160,51
"63","80",150,102,47
"64","81",166,118,47
"65","82",201,141,59
"66","83",175,130,45
"67","84",188,121,67
