"","Age","Persons","Males","Females"
"1","18",811,562,249
"2","19",841,599,242
"3","20",837,596,239
"4","21",844,580,263
"5","22",812,588,222
"6","23",767,552,211
"7","24",872,592,277
"8","25",806,573,227
"9","26",831,565,265
"10","27",884,599,282
"11","28",812,582,227
"12","29",837,573,259
"13","30",544,384,160
"14","31",548,376,170
"15","32",556,372,183
"16","33",573,402,171
"17","34",503,354,148
"18","35",512,368,142
"19","36",565,388,174
"20","37",553,367,186
"21","38",550,394,155
"22","39",581,397,184
"23","40",555,370,184
"24","41",581,404,176
"25","42",539,382,155
"26","43",577,419,155
"27","44",560,403,157
"28","45",533,365,164
"29","46",531,385,145
"30","47",535,376,157
"31","48",569,398,169
"32","49",541,380,158
"33","50",567,404,162
"34","51",577,386,189
"35","52",551,397,151
"36","53",540,367,172
"37","54",532,374,156
"38","55",522,371,150
"39","56",570,369,200
"40","57",553,382,168
"41","58",563,407,155
"42","59",577,405,170
"43","60",230,163,66
"44","61",264,182,82
"45","62",258,176,81
"46","63",249,188,60
"47","64",264,165,97
"48","65",252,176,75
"49","66",258,192,65
"50","67",211,142,69
"51","68",256,187,69
"52","69",251,178,73
"53","70",279,194,85
"54","71",218,142,75
"55","72",253,183,70
"56","73",240,163,77
"57","74",285,202,82
"58","75",263,176,87
"59","76",243,176,66
"60","77",254,170,81
"61","78",276,185,89
"62","79",273,177,95
"63","80",265,184,81
"64","81",249,173,76
"65","82",264,194,70
"66","83",258,167,89
"67","84",260,184,74
